nazwa produktu / wpisu;kod produktu;kod specjalny;strona w gazetce;url;link mws z formu³y;Odpowiedzialny ;UWAGI
Zestaw pracownie przyrodnicze: fizyka;1LAB25;;10;https://laboratoriumszkolne.pl/pracownie-przyrodnicze-2021.html;https://mws.pl/gazetka/1LAB25;Patrycja;
Pracownie przyrodnicze - dofinansowanie ;;pracownie;8, 10;laboratoriumszkolne.pl/dofinansowanie;https://mws.pl/gazetka/pracownie;Patrycja;28.01: doda³am adres do str. 8 - w czêœci o dofinansowanaich 
Wizualizer Aver M15W ;4WA052;;11;https://www.vidis.pl/product/6320/aver-m15w.html;https://mws.pl/gazetka/4WA052;Asenata;
Wizualizer Aver U50;4WA040;;11;https://www.vidis.pl/product/1587/aver-u50.html;https://mws.pl/gazetka/4WA040;Asenata;
Wizualizer Aver U70+;4WA049;;11;https://www.vidis.pl/product/4886/aver-u70-.html;https://mws.pl/gazetka/4WA049;Asenata;
Wizualizer Lumens DC125;1WL016;;11;https://www.vidis.pl/product/670/lumens-dc125.html ;https://mws.pl/gazetka/1WL016;Asenata;
Wizualizer Lumens DC172;1WL048;;11;https://www.vidis.pl/product/6680/lumens-dc172.html ;https://mws.pl/gazetka/1WL048;Asenata;
Robot do nauki programowania Jimu WarriorBot;1TJM126;;12;https://jimurobot.pl/robot-jimu-warriorbot.html;https://mws.pl/gazetka/1TJM126;Patrycja;
Robot do nauki programowania Jimu Astrobot;1TJM007;;12;https://jimurobot.pl/robot-jimu-astrobot.html;https://mws.pl/gazetka/1TJM007;Patrycja;
Robot do nauki programowania Jimu Trackbot;1TJM120;;12;https://jimurobot.pl/robot-jimu-trackbot.html;https://mws.pl/gazetka/1TJM120;Patrycja;
Robot do nauki programowania Jimu Box zestaw klasowy;1TJM123;;13;https://jimurobot.pl/robot-jimu-box.html;https://mws.pl/gazetka/1TJM123;Patrycja;
Zestaw do nauki programowania uKit Entry;1TJM117;;13;https://jimurobot.pl/edukacja.html;https://mws.pl/gazetka/1TJM117;Patrycja;
Szafka do ³adowania laptopów Avtek Charging Cart 20;1MV048;;14;https://avtek.pl/produkty/show/1MV048;https://mws.pl/gazetka/1MV048;Rafa³;
Monitor interktywny LG 65TR3BF;1TG224;;15;https://www.vidis.pl/product/5680/monitor-lg-65tr3bf.html;https://mws.pl/gazetka/1TG224;Pawe³;
Monitor interktywny LG 75TR3BF;1TG225;;15;https://www.vidis.pl/product/5681/monitor-lg-75tr3bf.html;https://mws.pl/gazetka/1TG225;Pawe³;
Monitor interktywny LG 86TR3BF;1TG226;;15;https://www.vidis.pl/product/5682/monitor-lg-86tr3bf.html;https://mws.pl/gazetka/1TG226;Pawe³;
Monitor profesjonalny LG 43UL3G;1TG295;;15;https://www.vidis.pl/product/6403/monitor-lg-43ul3g.html;https://mws.pl/gazetka/1TG295;Pawe³;
Monitor profesjonalny LG 50UL3G;1TG296;;15;https://www.vidis.pl/product/6404/monitor-lg-50ul3g.html;https://mws.pl/gazetka/1TG296;Pawe³;
Monitor profesjonalny LG 55UL3G;1TG294;;15;https://www.vidis.pl/product/6400/monitor-lg-55ul3g.html;https://mws.pl/gazetka/1TG294;Pawe³;
Monitor profesjonalny LG 65UL3G;1TG293;;15;https://www.vidis.pl/product/6398/monitor-lg-65ul3g.html;https://mws.pl/gazetka/1TG293;Pawe³;
Kamera AverMedia Live Streamer PW313;1DG040;;15;https://www.vidis.pl/product/6293/kamera-internetowa-avermedia-live-streamer-cam-313-pw313.html;https://mws.pl/gazetka/1DG040;Asenata;
Kamera Qomo QWC-004;1VG043;;15;https://www.vidis.pl/product/6422/qomo-qwc-004.html;https://mws.pl/gazetka/1VG043;Asenata;
Webinary;;webinaryMWS;16;https://mws.pl/webinary/;https://mws.pl/gazetka/webinaryMWS;Marta;
FB MWS;;FBMWS;16;fb.com/portalMWS;https://mws.pl/gazetka/FBMWS;Marta;
FB Jimu;;FBJimu;16;fb.com/jimupolska;https://mws.pl/gazetka/FBJimu;Marta;
FB einstein;;FBeinstein;16;fb.com/laboratoriaeinstein;https://mws.pl/gazetka/FBeinstein;Marta;
FB Avtek;;FBavtek;16;fb.com/Avtek.eu;https://mws.pl/gazetka/FBavtek;Marta;
Konsultanci edukacyjni;;konsultanci;2, 16;https://mws.pl/konsultanci/;https://mws.pl/gazetka/konsultanci;Marta;
Zapraszamy do odwiedzenia;;stronaMWS;2, 16;https://mws.pl;https://mws.pl/gazetka/stronaMWS;Marta;
Zestaw do nauki programowania uKit Advanced;1TJM118;;13;https://jimurobot.pl/edukacja.html;https://mws.pl/gazetka/1TJM118;Patrycja;
Mikrofon z wbudowanym g³oœnikiem Avtek Micker Pro;1SVS10;;5, 14;https://avtek.pl/produkty/show/1SVS10/Avtek-Micker-Pro-mikrofon-bezprzewodowy-z-glosnikiem;https://mws.pl/gazetka/1SVS10;Pawe³;
G³osnik Avtek Soundbar 2.1;1SVS11;;5, 14;https://avtek.pl/produkty/show/1SVS11/Avtek-Soundbar-2.1;https://mws.pl/gazetka/1SVS11;Pawe³;
Produkty do AT - roboty;;;5;nie linkujemy ;;Marta;
Strona do rejestracji gwarancji;;rejestracje;7;https://mws.pl/rejestracje;https://mws.pl/gazetka/rejestracje;;
Pakiet czujników chemia;1TFS63;;;https://laboratoriumszkolne.pl/urzadzenia.html;https://mws.pl/gazetka/1TFS63;;
Pakiet czujników fizyka;1TFS73;;;https://laboratoriumszkolne.pl/urzadzenia.html;https://mws.pl/gazetka/1TFS73;;
Pakiet czujników biologia;1TFS74;;;https://laboratoriumszkolne.pl/urzadzenia.html;https://mws.pl/gazetka/1TFS74;;
Pakiet czujników przedmioty przyrodnicze;1TFS72;;;https://laboratoriumszkolne.pl/urzadzenia.html;https://mws.pl/gazetka/1TFS72;;
Link do strony ze wszystkimi dotacjami;;dotacje;;https://mws.pl/dotacje/;https://mws.pl/gazetka/dotacje;;28.01: doda³em 
Zestaw do wideokonferencji Aver VB342+;1VG036;;13;produkt ;https://www.vidis.pl/product/6228/aver-vb342-.html;https://mws.pl/gazetka/1VG036;
Robot do nauki programowania Jimu Box zestaw klasowy;1TJM123;;14;produkt;https://jimurobot.pl/robot-jimu-box.html;https://mws.pl/gazetka/1TJM123;
Zestaw do nauki programowania uKit Advanced;1TJM118;;14;produkt;https://jimurobot.pl/edukacja.html;https://mws.pl/gazetka/1TJM118;
Zestaw do nauki programowania uKit Entry;1TJM117;;14;produkt;https://jimurobot.pl/edukacja.html;https://mws.pl/gazetka/1TJM117;
Robot do nauki programowania Jimu WarriorBot;1TJM126;;15;produkt ;https://www.vidis.pl/product/6476/jimu-warriorbot.html;https://mws.pl/gazetka/1TJM126;
Konsultanci edukacyjni;;konsultanci;5, 16;specjalny;https://mws.pl/konsultanci/;https://mws.pl/gazetka/konsultanci;
Zapraszamy do odwiedzenia;;stronaMWS;16;specjalny;https://mws.pl;https://mws.pl/gazetka/stronaMWS;
Webinary;;webinaryMWS;16;specjalny;https://mws.pl/webinary/;https://mws.pl/gazetka/webinaryMWS;
FB MWS;;FBMWS;16;specjalny;fb.com/portalMWS;https://mws.pl/gazetka/FBMWS;
FB Jimu;;FBJimu;16;specjalny;fb.com/jimupolska;https://mws.pl/gazetka/FBJimu;
FB einstein;;FBeinstein;16;specjalny;fb.com/laboratoriaeinstein;https://mws.pl/gazetka/FBeinstein;
FB Avtek;;FBavtek;16;specjalny;fb.com/Avtek.eu;https://mws.pl/gazetka/FBavtek;
Statyw mobilny Avtek TouchScreen Mobile Stand Next;1MV051;;;online;https://avtek.pl/produkty/show/1MV051/Avtek-TouchScreen-Mobile-Stand-Next-bez-uchwytu;https://mws.pl/gazetka/1MV051;
Statyw mobilny elektryczny Avtek TouchScreen Electric Column;1MV052;;;online;https://avtek.pl/produkty/show/1MV052/Avtek-TouchScreen-Electric-Column;https://mws.pl/gazetka/1MV052;
Statyw mobilny elektryczny Avtek TouchScreen Electric Lift & Flip Stand;1MV050;;;online;https://avtek.pl/produkty/show/1MV050/Avtek-TouchScreen-Electric-Lift--Flip-Stand;https://mws.pl/gazetka/1MV050;
Wizualizer Aver F17-8M;4WA046;;12;produkt;https://www.vidis.pl/product/3423/aver-f17-8m.html;https://mws.pl/gazetka/4WA046;
